品牌,食物名,食用量,熱量,蛋白質,脂肪,碳水化合物,資料來源,更新時間
Subway,火腿,一份,110,12,3.0,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,香烤雞肉,一份,140,19,2.5,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,燒烤牛肉,一份,140,19,3.5,11,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,百味俱樂部,一份,140,18,3.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,照燒雞肉,一份,230,20,3.0,32,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,嫩切雞肉,一份,110,12,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞胸肉,一份,110,12,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞火腿,一份,110,12,2.0,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,素食蔬菜,一份,60,3,1.0,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101
