Brand,Name,食用量,Intake_g,Cal_kcal,Protein_g,Fat_g,Cho_g,Resource,UpdateTime,BraName
Subway,鮮嫩雞柳潛艇堡,一份,233,310,25,5.0,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_鮮嫩雞柳潛艇堡
Subway,火腿潛艇堡,一份,216,290,18,4.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火腿潛艇堡
Subway,香烤雞肉潛艇堡,一份,230,320,23,5.0,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_香烤雞肉潛艇堡
Subway,燒烤牛肉潛艇堡,一份,230,320,25,5.0,45,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_燒烤牛肉潛艇堡
Subway,百味俱樂部潛艇堡,一份,237,310,23,4.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_百味俱樂部潛艇堡
Subway,照燒雞肉潛艇堡,一份,266,370,25,4.0,58,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_照燒雞肉潛艇堡
Subway,嫩切雞肉潛艇堡,一份,216,280,18,3.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_嫩切雞肉潛艇堡
Subway,火雞胸肉潛艇堡,一份,216,280,18,3.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火雞胸肉潛艇堡
Subway,火雞火腿潛艇堡,一份,216,340,17,3.5,43,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火雞火腿潛艇堡
Subway,素食蔬菜潛艇堡,一份,160,230,8,2.5,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_素食蔬菜潛艇堡
Subway,水牛城辣雞潛艇堡,一份,268,420,25,16.0,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_水牛城辣雞潛艇堡
Subway,厚切嫩牛潛艇堡,一份,167,360,24,4.0,43,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_厚切嫩牛潛艇堡
Subway,鄉村培根雞肉潛艇堡,一份,277,570,37,30.0,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_鄉村培根雞肉潛艇堡
Subway,義大利經典潛艇堡,一份,223,410,20,16.0,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_義大利經典潛艇堡
Subway,義大利牛肉丸潛艇堡,一份,299,480,21,18.0,59,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_義大利牛肉丸潛艇堡
Subway,鮪魚潛艇堡,一份,234,480,20,25.0,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_鮪魚潛艇堡
Subway,哈燒起司總匯潛艇堡,一份,241,380,26,10.0,48,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_哈燒起司總匯潛艇堡
Subway,火腿沙拉,一份,340,126,12,2.8,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火腿沙拉
Subway,香烤雞肉沙拉,一份,354,133,19,3.3,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_香烤雞肉沙拉
Subway,燒烤牛肉沙拉,一份,354,139,19,2.2,11,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_燒烤牛肉沙拉
Subway,百味俱樂部沙拉,一份,361,131,18,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_百味俱樂部沙拉
Subway,照燒雞肉沙拉,一份,411,167,20,2.7,32,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_照燒雞肉沙拉
Subway,嫩切雞肉沙拉,一份,340,104,12,1.4,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_嫩切雞肉沙拉
Subway,火雞胸肉沙拉,一份,340,100,12,1.9,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火雞胸肉沙拉
Subway,火雞火腿沙拉,一份,340,121,12,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火雞火腿沙拉
Subway,素食蔬菜沙拉,一份,284,52,3,0.9,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_素食蔬菜沙拉
Subway,火雞火腿沙拉,一份,349,180,12,11.0,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火雞火腿沙拉
Subway,義大利經典沙拉,一份,349,230,14,15.0,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_義大利經典沙拉
Subway,義大利義大利牛肉丸沙拉,一份,424,310,16,17.0,25,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_義大利義大利牛肉丸沙拉
Subway,起司牛排沙拉,一份,368,210,20,8.0,14,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_起司牛排沙拉
Subway,鮪魚沙拉,一份,360,310,15,24.0,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_鮪魚沙拉
Subway,西南鄉村醬,一份,43,190,1,20.0,2,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_西南鄉村醬
Subway,蜂蜜芥末醬,一份,43,60,0,1.0,13,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_蜂蜜芥末醬
Subway,凱薩醬,一份,43,220,0,23.0,2,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_凱薩醬
Subway,甜蔥醬油,一份,43,80,0,0.0,18,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_甜蔥醬油
Subway,紅酒醋醬,一份,43,120,0,9.5,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_紅酒醋醬
Subway,橄欖油(1 tsp.),一份,5,45,0,5.0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_橄欖油(1 tsp.)
Subway,義式白麵包,一份,71,200,7,2.0,38,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_義式白麵包
Subway,全麥麵包,一份,78,210,8,2.0,40,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_全麥麵包
Subway,巴馬乾酪麵包,一份,75,220,8,2.5,40,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_巴馬乾酪麵包
Subway,蜂蜜燕麥麵包,一份,82,230,8,3.0,40,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_蜂蜜燕麥麵包
Subway,家鄉麵包,一份,75,210,7,2.5,41,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_家鄉麵包
Subway,火焰烤餅,一份,81,220,7,4.5,38,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火焰烤餅
Subway,培根,一份,15,80,6,5.0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_培根
Subway,西南鄉村醬,一份,21,100,0,10.0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_西南鄉村醬
Subway,蜂蜜芥末醬,一份,21,30,0,0.0,7,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_蜂蜜芥末醬
Subway,美乃滋(1T),一份,15,110,0,12.0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_美乃滋(1T)
Subway,黃芥末醬(2 tsp.),一份,10,5,0,0.0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_黃芥末醬(2 tsp.)
Subway,橄欖油(1 tsp.),一份,7,45,0,5.0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_橄欖油(1 tsp.)
Subway,凱薩醬,一份,21,110,0,11.0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_凱薩醬
Subway,甜蔥醬,一份,21,40,0,0.0,9,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_甜蔥醬
Subway,紅酒醋,一份,14,39,0,3.1,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_紅酒醋
Subway,大黃瓜(3片),一份,17,5,0,0.0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_大黃瓜(3片)
Subway,青椒(3條),一份,7,0,0,0.0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_青椒(3條)
Subway,墨西哥辣椒(3片),一份,4,5,0,0.0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_墨西哥辣椒(3片)
Subway,生菜,一份,21,5,0,0.0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_生菜
Subway,洋蔥,一份,7,5,0,0.0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_洋蔥
Subway,酸黃瓜,一份,9,0,0,0.0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_酸黃瓜
Subway,黑橄欖(3片),一份,3,5,0,0.0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_黑橄欖(3片)
Subway,番茄(3片),一份,34,5,0,0.0,2,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_番茄(3片)
Subway,可口可樂?(去冰),一份,21,260,3,1.5,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_可口可樂?(去冰)
Subway,健怡可口可樂?(去冰),一份,21,100,0,1.5,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_健怡可口可樂?(去冰)
Subway,雪碧?(去冰),一份,21,260,0,0.0,68,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_雪碧?(去冰)
Subway,義式番茄湯(8oz/碗),一份,8,140,5,7.0,15,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_義式番茄湯(8oz/碗)
Subway,餅乾,一份,45,200,3,8.0,13,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_餅乾
Subway,起司蛋,一份,174,360,19,12.0,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_起司蛋
Subway,火腿蛋,一份,202,390,24,13.0,45,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火腿蛋
Subway,培根蛋,一份,183,410,23,16.0,45,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_培根蛋
Subway,牛排蛋,一份,216,430,28,15.0,47,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_牛排蛋
Subway,火腿沙拉(低脂),一份,340,110,12,3.0,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火腿沙拉(低脂)
Subway,香烤雞肉沙拉(低脂),一份,354,140,19,2.5,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_香烤雞肉沙拉(低脂)
Subway,燒烤牛肉沙拉(低脂),一份,354,140,19,3.5,11,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_燒烤牛肉沙拉(低脂)
Subway,百味俱樂部沙拉(低脂),一份,361,140,18,3.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_百味俱樂部沙拉(低脂)
Subway,照燒雞肉沙拉(低脂),一份,411,230,20,3.0,32,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_照燒雞肉沙拉(低脂)
Subway,嫩切雞肉沙拉(低脂),一份,340,110,12,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_嫩切雞肉沙拉(低脂)
Subway,火雞胸肉沙拉(低脂),一份,340,110,12,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火雞胸肉沙拉(低脂)
Subway,火雞火腿沙拉(低脂),一份,340,110,12,2.0,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_火雞火腿沙拉(低脂)
Subway,素食蔬菜沙拉(低脂),一份,284,60,3,1.0,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101,Subway_素食蔬菜沙拉(低脂)
